ItemCode	Brand	PartNo	Description	DLNr	ArtNr
01.095*1725	CONTITECH	01.095*1725	ΙΜΑΝΤΕΣ  9.5 * 1725LA  "SPZ1712" CONTI		
01.095*1750	CONTITECH	01.095*1750	ΙΜΑΝΤΕΣ  9.5 * 1750LA  "SPZ1737" CONTI		
01.095*1775	CONTITECH	01.095*1775	ΙΜΑΝΤΕΣ  9.5 * 1775LA  "SPZ1762" CONTI		
01.095*1800	CONTITECH	01.095*1800	ΙΜΑΝΤΕΣ  9.5 * 1800LA  "SPZ1787" CONTI		
01.095*1813	CONTITECH	01.095*1813	ΙΜΑΝΤΕΣ  9.5 * 1813LA  "SPZ1800" CONTI		
01.095*1825	CONTITECH	01.095*1825	ΙΜΑΝΤΕΣ  9.5 * 1825LA  "SPZ1812" CONTI		
01.095*1850	CONTITECH	01.095*1850	ΙΜΑΝΤΕΣ  9.5 * 1850LA  "SPZ1837" CONTI		
01.095*1863	CONTITECH	01.095*1863	ΙΜΑΝΤΕΣ  9.5 * 1863LA  "SPZ1850" CONTI		
01.095*1875	CONTITECH	01.095*1875	ΙΜΑΝΤΕΣ  9.5 * 1875LA  "SPZ1862" CONTI		
01.095*1900	CONTITECH	01.095*1900	ΙΜΑΝΤΕΣ  9.5 * 1900LA  "SPZ1887" CONTI		
01.095*1913	CONTITECH	01.095*1913	ΙΜΑΝΤΕΣ  9.5 * 1913LA  "SPZ1900" CONTI		
01.095*1950	CONTITECH	01.095*1950	ΙΜΑΝΤΕΣ  9.5 * 1950LA  "SPZ1937" CONTI		
01.095*2000	CONTITECH	01.095*2000	ΙΜΑΝΤΕΣ  9.5 * 2000LA  "SPZ1987" CONTI		
01.095*2013	CONTITECH	01.095*2013	ΙΜΑΝΤΕΣ  9.5 * 2013LA  "SPZ2000" CONTI		
01.095*2050	CONTITECH	01.095*2050	ΙΜΑΝΤΕΣ  9.5 * 2050LA  "SPZ2037" CONTI		
01.095*2100	CONTITECH	01.095*2100	ΙΜΑΝΤΕΣ  9.5 * 2100LA  "SPZ2087" CONTI		
01.095*2133	CONTITECH	01.095*2133	ΙΜΑΝΤΕΣ  9.5 * 2133LA  "SPZ2120" CONTI		
01.095*2150	CONTITECH	01.095*2150	ΙΜΑΝΤΕΣ  9.5 * 2150LA  "SPZ2137" CONTI		
01.095*2173	CONTITECH	01.095*2173	ΙΜΑΝΤΕΣ  9.5 * 2173LA  "SPZ2160" CONTI		
01.095*2200	CONTITECH	01.095*2200	ΙΜΑΝΤΕΣ  9.5 * 2200LA  "SPZ2187" CONTI		
01.095*2253	CONTITECH	01.095*2253	ΙΜΑΝΤΕΣ  9.5 * 2253LA  "SPZ2240" CONTI		
01.095*2275	CONTITECH	01.095*2275	ΙΜΑΝΤΕΣ  9.5 * 2275LA  "SPZ2262" CONTI		
01.095*2300	CONTITECH	01.095*2300	ΙΜΑΝΤΕΣ  9.5 * 2300LA  "SPZ2287" CONTI		
01.095*2373	CONTITECH	01.095*2373	ΙΜΑΝΤΕΣ  9.5 * 2373LA  "SPZ2360" CONTI		
01.095*2423	CONTITECH	01.095*2423	ΙΜΑΝΤΕΣ  9.5 * 2423LA  "SPZ2410" CONTI		
01.095*2450	CONTITECH	01.095*2450	ΙΜΑΝΤΕΣ  9.5 * 2450LA  "SPZ2437" CONTI		
01.095*2500	CONTITECH	01.095*2500	ΙΜΑΝΤΕΣ  9.5 * 2500LA  "SPZ2487" CONTI		
01.095*2553	CONTITECH	01.095*2553	ΙΜΑΝΤΕΣ  9.5 * 2553LA  "SPZ2540" CONTI		
01.095*2663	CONTITECH	01.095*2663	ΙΜΑΝΤΕΣ  9.5 * 2663LA  "SPZ2650" CONTI		
01.095*2703	CONTITECH	01.095*2703	ΙΜΑΝΤΕΣ  9.5 * 2703LA  "SPZ2690" CONTI		
01.095*2813	CONTITECH	01.095*2813	ΙΜΑΝΤΕΣ  9.5 * 2813LA  "SPZ2800" CONTI		
01.095*2853	CONTITECH	01.095*2853	ΙΜΑΝΤΕΣ  9.5 * 2853LA  "SPZ2840" CONTI		
01.095*3013	CONTITECH	01.095*3013	ΙΜΑΝΤΕΣ  9.5 * 3013LA  "SPZ3000" CONTI		
01.095*3163	CONTITECH	01.095*3163	ΙΜΑΝΤΕΣ  9.5 * 3163LA  "SPZ3150" CONTI		
01.095*3183	CONTITECH	01.095*3183	ΙΜΑΝΤΕΣ  9.5 * 3183LA  "SPZ3170" CONTI		
01.095*3363	CONTITECH	01.095*3363	ΙΜΑΝΤΕΣ  9.5 * 3363LA  "SPZ3350" CONTI		
01.095*3563	CONTITECH	01.095*3563	ΙΜΑΝΤΕΣ  9.5 * 3563LA  "SPZ3550" CONTI		
01.100*0505	CONTITECH	01.100*0505	ΙΜΑΝΤΕΣ  AVX10 * 0505 ΟΔ. FO CONT	31	AVX10X505
01.100*0540	CONTITECH	01.100*0540	ΙΜΑΝΤΕΣ  AVX10 * 0540 ΟΔ. FO CONT	31	AVX10x540
01.100*0550	CONTITECH	01.100*0550	ΙΜΑΝΤΕΣ  AVX10 * 0550 ΟΔ. FO CONT	31	AVX10X550
01.100*0580	CONTITECH	01.100*0580	ΙΜΑΝΤΕΣ  AVX10 * 0580 ΟΔ. FO CONT	31	AVX10x580
01.100*0600	CONTITECH	01.100*0600	ΙΜΑΝΤΕΣ  AVX10 * 0600 ΟΔ. FO CONT	31	AVX10X600
01.100*0610	CONTITECH	01.100*0610	ΙΜΑΝΤΕΣ  AVX10 * 0610 ΟΔ. FO CONT	31	AVX10X610
01.100*0613	CONTITECH	01.100*0613	ΙΜΑΝΤΕΣ  AVX10 * 0613 ΟΔ. FO CONT	31	AVX10X613
01.100*0617	CONTITECH	01.100*0617	ΙΜΑΝΤΕΣ  AVX10 * 0617 ΟΔ. FO CONT	31	AVX10X617
01.100*0625	CONTITECH	01.100*0625	ΙΜΑΝΤΕΣ  AVX10 * 0625 ΟΔ. FO CONT	31	AVX10X625
01.100*0630	CONTITECH	01.100*0630	ΙΜΑΝΤΕΣ  AVX10 * 0630 ΟΔ. FO CONT	31	AVX10X630
01.100*0635	CONTITECH	01.100*0635	ΙΜΑΝΤΕΣ  AVX10 * 0635 ΟΔ. FO CONT	31	AVX10X635
01.100*0643	CONTITECH	01.100*0643	ΙΜΑΝΤΕΣ  AVX10 * 0643 ΟΔ. FO CONT	31	AVX10X643
01.100*0650	CONTITECH	01.100*0650	ΙΜΑΝΤΕΣ  AVX10 * 0650 ΟΔ. FO CONT	31	AVX10X650
01.100*0660	CONTITECH	01.100*0660	ΙΜΑΝΤΕΣ  AVX10 * 0660 OΔ. FO CONT	31	AVX10X660
01.100*0666	CONTITECH	01.100*0666	ΙΜΑΝΤΕΣ  AVX10 * 0666 OΔ. FO CONT	31	AVX10X666
01.100*0675	CONTITECH	01.100*0675	ΙΜΑΝΤΕΣ  AVX10 * 0675 ΟΔ. FO CONT	31	AVX10X675
01.100*0685	CONTITECH	01.100*0685	ΙΜΑΝΤΕΣ  AVX10 * 0685 ΟΔ. FO CONT	31	AVX10X685
01.100*0695	CONTITECH	01.100*0695	ΙΜΑΝΤΕΣ  AVX10 * 0695 ΟΔ. FO CONT	31	AVX10X695
01.100*0700	CONTITECH	01.100*0700	ΙΜΑΝΤΕΣ  AVX10 * 0700 ΟΔ. FO CONT	31	AVX10X700
01.100*0710	CONTITECH	01.100*0710	ΙΜΑΝΤΕΣ  AVX10 * 0710 ΟΔ. FO CONT	31	AVX10X710
01.100*0715	CONTITECH	01.100*0715	ΙΜΑΝΤΕΣ  AVX10 * 0715 ΟΔ. FO CONT	31	AVX10X715
01.100*0725	CONTITECH	01.100*0725	ΙΜΑΝΤΕΣ  AVX10 * 0725 ΟΔ. FO CONT	31	AVX10X725
01.100*0730	CONTITECH	01.100*0730	ΙΜΑΝΤΕΣ  AVX10 * 0730 OΔ. FO CONT	31	AVX10X730
01.100*0735	CONTITECH	01.100*0735	ΙΜΑΝΤΕΣ  AVX10 * 0735 ΟΔ. FO CONT	31	AVX10X735
01.100*0740	CONTITECH	01.100*0740	ΙΜΑΝΤΕΣ  AVX10 * 0740 ΟΔ. FO CONT	31	AVX10X740
01.100*0750	CONTITECH	01.100*0750	ΙΜΑΝΤΕΣ  AVX10 * 0750 ΟΔ. FO CONT	31	AVX10X750
01.100*0763	CONTITECH	01.100*0763	ΙΜΑΝΤΕΣ  AVX10 * 0763 ΟΔ. FO CONT	31	AVX10X763
01.100*0770	CONTITECH	01.100*0770	ΙΜΑΝΤΕΣ  AVX10 * 0770 ΟΔ. FO CONT	31	AVX10X770
01.100*0775	CONTITECH	01.100*0775	ΙΜΑΝΤΕΣ  AVX10 * 0775 ΟΔ. FO CONT	31	AVX10X775
